Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086077,2021,01,01,30.0,1,N
IDCJAC0010,086077,2021,01,02,27.3,1,N
IDCJAC0010,086077,2021,01,03,24.8,1,N
IDCJAC0010,086077,2021,01,04,19.7,1,Y
IDCJAC0010,086077,2021,01,05,20.0,1,N
IDCJAC0010,086077,2021,01,06,20.0,1,N
IDCJAC0010,086077,2021,01,07,25.6,1,Y
IDCJAC0010,086077,2021,01,08,25.0,1,N
IDCJAC0010,086077,2021,01,09,27.5,1,N
IDCJAC0010,086077,2021,01,10,32.7,1,N
IDCJAC0010,086077,2021,01,11,37.4,1,N
IDCJAC0010,086077,2021,01,12,21.8,1,N
IDCJAC0010,086077,2021,01,13,27.8,1,N
IDCJAC0010,086077,2021,01,14,21.7,1,N
IDCJAC0010,086077,2021,01,15,19.3,1,N
IDCJAC0010,086077,2021,01,16,20.0,1,N
IDCJAC0010,086077,2021,01,17,19.1,1,N
IDCJAC0010,086077,2021,01,18,23.1,1,N
IDCJAC0010,086077,2021,01,19,20.0,1,N
IDCJAC0010,086077,2021,01,20,23.9,1,N
IDCJAC0010,086077,2021,01,21,30.7,1,N
IDCJAC0010,086077,2021,01,22,24.4,1,N
IDCJAC0010,086077,2021,01,23,28.7,1,N
IDCJAC0010,086077,2021,01,24,37.6,1,N
IDCJAC0010,086077,2021,01,25,40.6,1,N
IDCJAC0010,086077,2021,01,26,21.0,1,N
IDCJAC0010,086077,2021,01,27,26.8,1,N
IDCJAC0010,086077,2021,01,28,24.6,1,N
IDCJAC0010,086077,2021,01,29,21.8,1,N
IDCJAC0010,086077,2021,01,30,20.9,1,N
IDCJAC0010,086077,2021,01,31,23.1,1,N
IDCJAC0010,086077,2021,02,01,19.9,1,Y
IDCJAC0010,086077,2021,02,02,20.0,1,Y
IDCJAC0010,086077,2021,02,03,25.5,1,Y
IDCJAC0010,086077,2021,02,04,31.4,1,Y
IDCJAC0010,086077,2021,02,05,29.5,1,Y
IDCJAC0010,086077,2021,02,06,24.5,1,Y
IDCJAC0010,086077,2021,02,07,19.3,1,Y
IDCJAC0010,086077,2021,02,08,20.0,1,Y
IDCJAC0010,086077,2021,02,09,27.5,1,Y
IDCJAC0010,086077,2021,02,10,31.4,1,Y
IDCJAC0010,086077,2021,02,11,33.9,1,Y
IDCJAC0010,086077,2021,02,12,22.1,1,Y
IDCJAC0010,086077,2021,02,13,20.9,1,Y
IDCJAC0010,086077,2021,02,14,20.8,1,Y
IDCJAC0010,086077,2021,02,15,26.0,1,Y
IDCJAC0010,086077,2021,02,16,30.9,1,Y
IDCJAC0010,086077,2021,02,17,28.8,1,Y
IDCJAC0010,086077,2021,02,18,31.7,1,Y
IDCJAC0010,086077,2021,02,19,33.3,1,Y
IDCJAC0010,086077,2021,02,20,24.5,1,Y
IDCJAC0010,086077,2021,02,21,20.9,1,Y
IDCJAC0010,086077,2021,02,22,22.0,1,Y
IDCJAC0010,086077,2021,02,23,19.4,1,Y
IDCJAC0010,086077,2021,02,24,20.9,1,Y
IDCJAC0010,086077,2021,02,25,23.1,1,Y
IDCJAC0010,086077,2021,02,26,19.9,1,Y
IDCJAC0010,086077,2021,02,27,18.6,1,Y
IDCJAC0010,086077,2021,02,28,27.6,1,Y
IDCJAC0010,086077,2021,03,01,21.4,1,Y
IDCJAC0010,086077,2021,03,02,18.8,1,Y
IDCJAC0010,086077,2021,03,03,18.5,1,Y
IDCJAC0010,086077,2021,03,04,20.9,1,Y
IDCJAC0010,086077,2021,03,05,18.6,1,Y
IDCJAC0010,086077,2021,03,06,19.8,1,Y
IDCJAC0010,086077,2021,03,07,27.5,1,Y
IDCJAC0010,086077,2021,03,08,19.7,1,Y
IDCJAC0010,086077,2021,03,09,19.5,1,Y
IDCJAC0010,086077,2021,03,10,21.5,1,Y
IDCJAC0010,086077,2021,03,11,23.3,1,Y
IDCJAC0010,086077,2021,03,12,30.5,1,Y
IDCJAC0010,086077,2021,03,13,27.4,1,Y
IDCJAC0010,086077,2021,03,14,18.4,1,Y
IDCJAC0010,086077,2021,03,15,20.9,1,Y
IDCJAC0010,086077,2021,03,16,22.5,1,Y
IDCJAC0010,086077,2021,03,17,27.1,1,Y
IDCJAC0010,086077,2021,03,18,25.5,1,Y
IDCJAC0010,086077,2021,03,19,27.4,1,Y
IDCJAC0010,086077,2021,03,20,25.0,1,Y
IDCJAC0010,086077,2021,03,21,23.4,1,Y
IDCJAC0010,086077,2021,03,22,25.2,1,Y
IDCJAC0010,086077,2021,03,23,22.0,1,Y
IDCJAC0010,086077,2021,03,24,20.4,1,Y
IDCJAC0010,086077,2021,03,25,20.6,1,Y
IDCJAC0010,086077,2021,03,26,21.8,1,Y
IDCJAC0010,086077,2021,03,27,20.5,1,Y
IDCJAC0010,086077,2021,03,28,19.6,1,Y
IDCJAC0010,086077,2021,03,29,18.7,1,Y
IDCJAC0010,086077,2021,03,30,19.1,1,Y
IDCJAC0010,086077,2021,03,31,22.2,1,Y
IDCJAC0010,086077,2021,04,01,28.2,1,Y
IDCJAC0010,086077,2021,04,02,29.4,1,Y
IDCJAC0010,086077,2021,04,03,32.1,1,Y
IDCJAC0010,086077,2021,04,04,22.5,1,Y
IDCJAC0010,086077,2021,04,05,19.7,1,Y
IDCJAC0010,086077,2021,04,06,19.9,1,Y
IDCJAC0010,086077,2021,04,07,21.7,1,Y
IDCJAC0010,086077,2021,04,08,29.8,1,Y
IDCJAC0010,086077,2021,04,09,17.3,1,Y
IDCJAC0010,086077,2021,04,10,18.0,1,Y
IDCJAC0010,086077,2021,04,11,14.2,1,Y
IDCJAC0010,086077,2021,04,12,17.3,1,Y
IDCJAC0010,086077,2021,04,13,20.2,1,Y
IDCJAC0010,086077,2021,04,14,20.4,1,Y
IDCJAC0010,086077,2021,04,15,19.9,1,Y
IDCJAC0010,086077,2021,04,16,15.7,1,Y
IDCJAC0010,086077,2021,04,17,17.0,1,Y
IDCJAC0010,086077,2021,04,18,18.6,1,Y
IDCJAC0010,086077,2021,04,19,19.6,1,Y
IDCJAC0010,086077,2021,04,20,20.3,1,Y
IDCJAC0010,086077,2021,04,21,14.5,1,Y
IDCJAC0010,086077,2021,04,22,,,
IDCJAC0010,086077,2021,04,23,17.4,1,Y
IDCJAC0010,086077,2021,04,24,18.2,1,Y
IDCJAC0010,086077,2021,04,25,17.3,1,Y
IDCJAC0010,086077,2021,04,26,17.2,1,Y
IDCJAC0010,086077,2021,04,27,16.3,1,Y
IDCJAC0010,086077,2021,04,28,16.1,1,Y
IDCJAC0010,086077,2021,04,29,18.7,1,Y
IDCJAC0010,086077,2021,04,30,24.5,1,Y
IDCJAC0010,086077,2021,05,01,25.3,1,Y
IDCJAC0010,086077,2021,05,02,26.4,1,Y
IDCJAC0010,086077,2021,05,03,18.0,1,Y
IDCJAC0010,086077,2021,05,04,16.1,1,Y
IDCJAC0010,086077,2021,05,05,17.1,1,Y
IDCJAC0010,086077,2021,05,06,20.3,1,Y
IDCJAC0010,086077,2021,05,07,20.6,1,Y
IDCJAC0010,086077,2021,05,08,19.2,1,Y
IDCJAC0010,086077,2021,05,09,19.1,1,Y
IDCJAC0010,086077,2021,05,10,16.3,1,Y
IDCJAC0010,086077,2021,05,11,16.6,1,Y
IDCJAC0010,086077,2021,05,12,18.1,1,Y
IDCJAC0010,086077,2021,05,13,17.8,1,Y
IDCJAC0010,086077,2021,05,14,14.4,1,Y
IDCJAC0010,086077,2021,05,15,13.2,1,Y
IDCJAC0010,086077,2021,05,16,14.5,1,Y
IDCJAC0010,086077,2021,05,17,15.7,1,Y
IDCJAC0010,086077,2021,05,18,16.1,1,Y
IDCJAC0010,086077,2021,05,19,18.0,1,Y
IDCJAC0010,086077,2021,05,20,16.1,1,Y
