Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,086077,2021,01,01,16.4,1,N
IDCJAC0011,086077,2021,01,02,15.8,1,N
IDCJAC0011,086077,2021,01,03,17.0,1,N
IDCJAC0011,086077,2021,01,04,15.9,1,N
IDCJAC0011,086077,2021,01,05,15.7,1,Y
IDCJAC0011,086077,2021,01,06,13.6,1,N
IDCJAC0011,086077,2021,01,07,13.7,1,N
IDCJAC0011,086077,2021,01,08,13.1,1,Y
IDCJAC0011,086077,2021,01,09,13.0,1,N
IDCJAC0011,086077,2021,01,10,14.5,1,N
IDCJAC0011,086077,2021,01,11,17.4,1,N
IDCJAC0011,086077,2021,01,12,18.2,1,N
IDCJAC0011,086077,2021,01,13,13.3,1,N
IDCJAC0011,086077,2021,01,14,14.8,1,N
IDCJAC0011,086077,2021,01,15,12.9,1,N
IDCJAC0011,086077,2021,01,16,10.1,1,N
IDCJAC0011,086077,2021,01,17,13.3,1,N
IDCJAC0011,086077,2021,01,18,14.9,1,N
IDCJAC0011,086077,2021,01,19,13.4,1,N
IDCJAC0011,086077,2021,01,20,8.8,1,N
IDCJAC0011,086077,2021,01,21,9.8,1,N
IDCJAC0011,086077,2021,01,22,15.5,1,N
IDCJAC0011,086077,2021,01,23,14.8,1,N
IDCJAC0011,086077,2021,01,24,14.8,1,N
IDCJAC0011,086077,2021,01,25,22.1,1,N
IDCJAC0011,086077,2021,01,26,17.6,1,N
IDCJAC0011,086077,2021,01,27,12.7,1,N
IDCJAC0011,086077,2021,01,28,15.6,1,N
IDCJAC0011,086077,2021,01,29,,,
IDCJAC0011,086077,2021,01,30,15.9,1,N
IDCJAC0011,086077,2021,01,31,,,
IDCJAC0011,086077,2021,02,01,12.4,1,Y
IDCJAC0011,086077,2021,02,02,15.3,1,Y
IDCJAC0011,086077,2021,02,03,11.7,1,Y
IDCJAC0011,086077,2021,02,04,11.3,1,Y
IDCJAC0011,086077,2021,02,05,18.0,1,Y
IDCJAC0011,086077,2021,02,06,15.3,1,Y
IDCJAC0011,086077,2021,02,07,15.1,1,Y
IDCJAC0011,086077,2021,02,08,14.3,1,Y
IDCJAC0011,086077,2021,02,09,10.1,1,Y
IDCJAC0011,086077,2021,02,10,12.3,1,Y
IDCJAC0011,086077,2021,02,11,14.8,1,Y
IDCJAC0011,086077,2021,02,12,17.4,1,Y
IDCJAC0011,086077,2021,02,13,15.8,1,Y
IDCJAC0011,086077,2021,02,14,10.2,1,Y
IDCJAC0011,086077,2021,02,15,12.2,1,Y
IDCJAC0011,086077,2021,02,16,13.7,1,Y
IDCJAC0011,086077,2021,02,17,13.7,1,Y
IDCJAC0011,086077,2021,02,18,15.0,1,Y
IDCJAC0011,086077,2021,02,19,19.4,1,Y
IDCJAC0011,086077,2021,02,20,19.8,1,Y
IDCJAC0011,086077,2021,02,21,17.0,1,Y
IDCJAC0011,086077,2021,02,22,15.8,1,Y
IDCJAC0011,086077,2021,02,23,13.9,1,Y
IDCJAC0011,086077,2021,02,24,10.5,1,Y
IDCJAC0011,086077,2021,02,25,9.7,1,Y
IDCJAC0011,086077,2021,02,26,13.0,1,Y
IDCJAC0011,086077,2021,02,27,9.8,1,Y
IDCJAC0011,086077,2021,02,28,8.9,1,Y
IDCJAC0011,086077,2021,03,01,15.2,1,Y
IDCJAC0011,086077,2021,03,02,13.1,1,Y
IDCJAC0011,086077,2021,03,03,13.6,1,Y
IDCJAC0011,086077,2021,03,04,13.8,1,Y
IDCJAC0011,086077,2021,03,05,14.3,1,Y
IDCJAC0011,086077,2021,03,06,13.6,1,Y
IDCJAC0011,086077,2021,03,07,10.0,1,Y
IDCJAC0011,086077,2021,03,08,14.9,1,Y
IDCJAC0011,086077,2021,03,09,13.8,1,Y
IDCJAC0011,086077,2021,03,10,10.3,1,Y
IDCJAC0011,086077,2021,03,11,9.0,1,Y
IDCJAC0011,086077,2021,03,12,14.7,1,Y
IDCJAC0011,086077,2021,03,13,18.2,1,Y
IDCJAC0011,086077,2021,03,14,11.4,1,Y
IDCJAC0011,086077,2021,03,15,9.7,1,Y
IDCJAC0011,086077,2021,03,16,12.9,1,Y
IDCJAC0011,086077,2021,03,17,12.2,1,Y
IDCJAC0011,086077,2021,03,18,12.4,1,Y
IDCJAC0011,086077,2021,03,19,12.9,1,Y
IDCJAC0011,086077,2021,03,20,15.2,1,Y
IDCJAC0011,086077,2021,03,21,17.9,1,Y
